iter	Logloss
0	0.6866268638
1	0.6804596153
2	0.6746848217
3	0.6687949071
4	0.6625364061
5	0.6558516345
6	0.6510775388
7	0.6449490945
8	0.6397877975
9	0.6343099373
10	0.6285855702
11	0.6237696842
12	0.6190987481
13	0.6139565904
14	0.609749562
15	0.6052123323
16	0.6022865394
17	0.5969653686
18	0.5922212388
19	0.5880440083
20	0.5847032984
21	0.5816080667
22	0.5775738961
23	0.5743387453
24	0.5710752238
25	0.5673338058
26	0.5632979159
27	0.5603574933
28	0.5567511886
29	0.5540251439
30	0.5509495961
31	0.5476607523
32	0.5440195483
33	0.540236328
34	0.5364801628
35	0.5339833631
36	0.5306718038
37	0.5271659476
38	0.5245097566
39	0.521487448
40	0.5186295029
41	0.5163924194
42	0.5141821897
43	0.5113789553
44	0.5087747526
45	0.5064818026
46	0.5037811286
47	0.5016794248
48	0.4990607299
49	0.4971138778
50	0.4951208963
51	0.4931457089
52	0.4908975137
53	0.4887293593
54	0.4867830014
55	0.4849226737
56	0.4824839971
57	0.4801624208
58	0.4785251298
59	0.4763427706
60	0.4746352115
61	0.472582995
62	0.471173908
63	0.4695090732
64	0.4678310611
65	0.4663161625
66	0.4650190296
67	0.4638292819
68	0.4621453083
69	0.460753192
70	0.4593433496
71	0.4576649083
72	0.4566800267
73	0.4549702884
74	0.4536119761
75	0.4523435055
76	0.4513918364
77	0.4500768293
78	0.4487263144
79	0.4472096495
80	0.4463751734
81	0.4450877199
82	0.4437830617
83	0.4425546733
84	0.4415649787
85	0.4404215386
86	0.4396673026
87	0.4386300461
88	0.4373721492
89	0.4362987519
90	0.4348929116
91	0.4336022834
92	0.4324859908
93	0.4311160353
94	0.4304065111
95	0.4297030345
96	0.4284260892
97	0.4275236923
98	0.4263429283
99	0.4253506383
100	0.4245138106
101	0.4240760003
102	0.4230773646
103	0.4224978525
104	0.4215203793
105	0.420792382
106	0.4197246932
107	0.4187069568
108	0.4178245054
109	0.4173043196
110	0.4161928152
111	0.4160086454
112	0.415273258
113	0.4145577982
114	0.4138894778
115	0.4131996645
116	0.4121762398
117	0.4112663807
118	0.4107556997
119	0.4102231162
120	0.4095564768
121	0.4091627403
122	0.4090944541
123	0.4085862876
124	0.4077719521
125	0.4070795769
126	0.4062429928
127	0.4055568459
128	0.4047299617
129	0.4042061442
130	0.4036482835
131	0.4030149496
132	0.4025461614
133	0.4020807201
134	0.4014959848
135	0.4006166847
136	0.3998870472
137	0.3994957911
138	0.3991208766
139	0.3987251295
140	0.3984463668
141	0.3977151265
142	0.396958412
143	0.3962588502
144	0.3954990528
145	0.3950624193
146	0.3943658027
147	0.3939986683
148	0.3937038522
149	0.3933488598
150	0.3932024258
151	0.3930817278
152	0.3925381968
153	0.3921438406
154	0.3917756951
155	0.391523154
156	0.3912562152
157	0.3909235992
158	0.3905744029
159	0.3903005776
160	0.3896604018
161	0.3895902315
162	0.3893216452
163	0.389076822
164	0.3884720147
165	0.3881840377
166	0.387670903
167	0.3873725914
168	0.3871705521
169	0.3867836449
170	0.3861265386
171	0.3856197482
172	0.3852087652
173	0.3851750929
174	0.3847178791
175	0.3842046598
176	0.3838785109
177	0.383310124
178	0.3830377049
179	0.3825760505
180	0.3823032363
181	0.3822279965
182	0.3819896102
183	0.3815470219
184	0.3814091469
185	0.3812230646
186	0.3810812024
187	0.380727733
188	0.3804516432
189	0.3802463856
190	0.3799774587
191	0.3795466704
192	0.3791300203
193	0.3787579853
194	0.3784470656
195	0.3779996471
196	0.3775714888
197	0.3774051367
198	0.3771294612
199	0.3767841897
200	0.3766843887
201	0.3763723072
202	0.3758390167
203	0.37555402
204	0.3751605131
205	0.3747960131
206	0.3744580555
207	0.374280385
208	0.3739054031
209	0.3735464852
210	0.3732818329
211	0.3729023163
212	0.3727083517
213	0.372265978
214	0.3720275986
215	0.3717566936
216	0.3716048106
217	0.3715712273
218	0.3713279676
219	0.3707627685
220	0.3705238297
221	0.3701559576
222	0.3699361258
223	0.3698454404
224	0.3696899789
225	0.3693476555
226	0.3690059893
227	0.36896326
228	0.3687726323
229	0.3686727661
230	0.3684656858
231	0.3681822406
232	0.3679854481
233	0.3676927013
234	0.3673467711
235	0.3669005501
236	0.3667390227
237	0.3664389319
238	0.3661946246
239	0.3658312673
240	0.365652541
241	0.3653985828
242	0.3650863786
243	0.3647368209
244	0.3644320373
245	0.364268793
246	0.3639212018
247	0.3638054801
248	0.3635415302
249	0.3633637862
250	0.3630419789
251	0.3627652462
252	0.3625486913
253	0.3623397588
254	0.3622287177
255	0.3621245469
256	0.3619751841
257	0.361791857
258	0.361476388
259	0.3612454375
260	0.3609766616
261	0.3607334249
262	0.3604386583
263	0.3601980049
264	0.359950366
265	0.3597066339
266	0.359439792
267	0.3592431217
268	0.3590552143
269	0.3588848468
270	0.3586375013
271	0.3585063807
272	0.3584831877
273	0.3582982327
274	0.3580566685
275	0.357798656
276	0.3576843471
277	0.3575463507
278	0.3574199714
279	0.3572713043
280	0.3570356801
281	0.3570301393
282	0.3569857398
283	0.3566576883
284	0.356489607
285	0.3562718864
286	0.3562602405
287	0.3561080271
288	0.3559772784
289	0.3557449902
290	0.3553543797
291	0.3551518655
292	0.3550174574
293	0.3549302472
294	0.3547152817
295	0.3545786332
296	0.3543696406
297	0.354246056
298	0.3540416448
299	0.3537087465
300	0.3535183456
301	0.3533776362
302	0.3532515024
303	0.3530823027
304	0.3530469566
305	0.3528812848
306	0.3526305254
307	0.3524839813
308	0.3523937356
309	0.3522245662
310	0.3520272745
311	0.3519129861
312	0.3516303178
313	0.3516109397
314	0.3514032389
315	0.3512953844
316	0.3510671906
317	0.3507120802
318	0.3507002122
319	0.3505607938
320	0.3503995075
321	0.3503473414
322	0.350139009
323	0.3500075914
324	0.3499992212
325	0.3497964795
326	0.3495925548
327	0.3493968795
328	0.3493073182
329	0.3491183219
330	0.3489302436
331	0.3488888067
332	0.3487582648
333	0.3485779056
334	0.3484083568
335	0.3481870502
336	0.3481337026
337	0.3480477648
338	0.3478977414
339	0.3476835174
340	0.3475544242
341	0.3472540908
342	0.3469194605
343	0.3467843639
344	0.3465946989
345	0.34648139
346	0.3463546743
347	0.3460778282
348	0.3459101403
349	0.3458575541
350	0.345700999
351	0.3455657657
352	0.3453579259
353	0.3450699125
354	0.3450048864
355	0.3448597417
356	0.344637838
357	0.3445289144
358	0.3443503456
359	0.3442366781
360	0.3439994519
361	0.3438123457
362	0.3436344698
363	0.3435398603
364	0.343378028
365	0.3432708538
366	0.3431552492
367	0.3431007983
368	0.3430157165
369	0.3427811815
370	0.3424953227
371	0.3422931623
372	0.3421942304
373	0.3420125699
374	0.3418778582
375	0.341768463
376	0.3414978933
377	0.3414304888
378	0.3413150668
379	0.3412912102
380	0.3410667763
381	0.3409600133
382	0.340812849
383	0.3406864642
384	0.3405217269
385	0.3404818723
386	0.3403374301
387	0.340237097
388	0.3400162485
389	0.3399632415
390	0.3398270067
391	0.3396751657
392	0.3395933295
393	0.339421172
394	0.3392731872
395	0.3390950908
396	0.3389710175
397	0.3388340925
398	0.338745419
399	0.3386558785
400	0.338492266
401	0.3383983361
402	0.3383779923
403	0.338337788
404	0.3383021717
405	0.3382114581
406	0.3381945903
407	0.3380356785
408	0.3378743374
409	0.3378117644
410	0.3377079628
411	0.3376659318
412	0.3376632625
413	0.3374321217
414	0.3374100617
415	0.3372676864
416	0.3370994077
417	0.336870202
418	0.3368605813
419	0.3367544699
420	0.3366497969
421	0.3364694571
422	0.336395168
423	0.336337257
424	0.3360419192
425	0.3359353632
426	0.3358330092
427	0.3357188338
428	0.3356137677
429	0.3354562219
430	0.3352594785
431	0.3351517373
432	0.3349986902
433	0.3349617026
434	0.3348493722
435	0.3347157404
436	0.3345407985
437	0.3344423695
438	0.3342855483
439	0.33421825
440	0.3339054797
441	0.3337746336
442	0.3335981599
443	0.333488166
444	0.3333121276
445	0.3332477976
446	0.3331560743
447	0.3330591337
448	0.3329308506
449	0.332788775
450	0.3326413238
451	0.3324637825
452	0.3323440358
453	0.3323356566
454	0.3322454932
455	0.3321183763
456	0.3321102473
457	0.3319461254
458	0.3317370491
459	0.3316472089
460	0.3315113048
461	0.3313000323
462	0.3311216745
463	0.33110762
464	0.330929654
465	0.3308274544
466	0.3307070757
467	0.3305565269
468	0.3304064745
469	0.3302833718
470	0.3301706971
471	0.3299905159
472	0.329932227
473	0.3298626066
474	0.3297493329
475	0.3296511757
476	0.3294983409
477	0.3293603969
478	0.3291983994
479	0.3290773303
480	0.3289612648
481	0.328758494
482	0.3286276937
483	0.3284845527
484	0.3283821654
485	0.3283379953
486	0.328277208
487	0.3281150137
488	0.3279619485
489	0.3277501976
490	0.3275832397
491	0.3274926834
492	0.3274144671
493	0.3272851847
494	0.3271980601
495	0.3271009289
496	0.3270742218
497	0.327073761
498	0.3270020766
499	0.3267786592
500	0.3266179138
501	0.3265508832
502	0.3263983432
503	0.3262790276
504	0.3261515476
505	0.3260048171
506	0.3259030938
507	0.3257641752
508	0.3256225286
509	0.3254792679
510	0.3253637775
511	0.3252362762
512	0.3251114034
513	0.3250145845
514	0.3248716147
515	0.3246622037
516	0.3245195419
517	0.3244744543
518	0.3243991449
519	0.3243886148
520	0.3242117436
521	0.3241392683
522	0.3240168423
523	0.3239259422
524	0.323747634
525	0.3236253876
526	0.3234463852
527	0.3233486227
528	0.3232319531
529	0.3231076408
530	0.3229712646
531	0.3228983089
532	0.3227283022
533	0.3226577875
534	0.3224731468
535	0.3223241269
536	0.322224818
537	0.3221167328
538	0.3220201943
539	0.321896188
540	0.3217789194
541	0.3217164438
542	0.3216239757
543	0.3215875132
544	0.3214717114
545	0.321342096
546	0.3212464843
547	0.3211516294
548	0.3210146482
549	0.3209317363
550	0.3208272935
551	0.3207541678
552	0.3206410108
553	0.3205790662
554	0.3203479232
555	0.320160726
556	0.3200015854
557	0.3199567694
558	0.319862623
559	0.3197577851
560	0.3196378258
561	0.3194984557
562	0.3194875812
563	0.3194652412
564	0.3193968412
565	0.3193846904
566	0.319300527
567	0.3191642895
568	0.3190521269
569	0.3189401031
570	0.3188483874
571	0.3187221085
572	0.318592958
573	0.3184925734
574	0.3184205976
575	0.318337903
576	0.3182768793
577	0.3180726391
578	0.3179748934
579	0.3179081858
580	0.3177409535
581	0.3176106689
582	0.3175032536
583	0.3173598539
584	0.317268015
585	0.3170907248
586	0.3170749557
587	0.3169212354
588	0.3168749522
589	0.3167558607
590	0.3165994186
591	0.3165239031
592	0.3164695926
593	0.3162942447
594	0.3161490155
595	0.3161056863
596	0.3161053953
597	0.3158868665
598	0.315841337
599	0.3156955662
600	0.3156494923
601	0.3155192319
602	0.3154795292
603	0.3154067853
604	0.3153826388
605	0.3153272296
606	0.3152414673
607	0.3150892869
608	0.3149916819
609	0.3148788963
610	0.314794976
611	0.3146521207
612	0.3145042498
613	0.3142885667
614	0.3141901847
615	0.3140988816
616	0.3139528899
617	0.3139442209
618	0.3138829821
619	0.3137320283
620	0.3136365874
621	0.3135256136
622	0.3134257131
623	0.3132360039
624	0.313173954
625	0.3130549023
626	0.3129264902
627	0.3127976464
628	0.3126198497
629	0.3125180751
630	0.3124027715
631	0.3123610632
632	0.312283236
633	0.3120772721
634	0.3119109044
635	0.3116340133
636	0.3115297213
637	0.3113587502
638	0.3113031989
639	0.3111274871
640	0.3109988818
641	0.3109288106
642	0.3107504608
643	0.3105548452
644	0.3104765469
645	0.3103383476
646	0.3102043103
647	0.3100973081
648	0.3100513502
649	0.3099763539
650	0.3098690547
651	0.3098084999
652	0.3096909199
653	0.3096117482
654	0.3094588228
655	0.3093320054
656	0.3092736557
657	0.3092008292
658	0.3090866472
659	0.3089498674
660	0.3088251072
661	0.3086666143
662	0.3086125437
663	0.3084781042
664	0.3084020357
665	0.3083185687
666	0.3082622547
667	0.308205983
668	0.3081335491
669	0.3079730439
670	0.3077780821
671	0.307664297
672	0.3076015917
673	0.3074512424
674	0.3073095188
675	0.3072501427
676	0.307229596
677	0.3071793277
678	0.3069811816
679	0.3069131716
680	0.3068962173
681	0.3067963339
682	0.30666325
683	0.3065058391
684	0.3064165705
685	0.3062679095
686	0.3061748143
687	0.3060402976
688	0.3059279787
689	0.3058411867
690	0.3058334479
691	0.3056936489
692	0.305666767
693	0.3055033238
694	0.3053837574
695	0.3053832086
696	0.3052919649
697	0.3051795817
698	0.3050363545
699	0.3050095364
700	0.3049260573
701	0.3048438502
702	0.3047852236
703	0.3046678858
704	0.3045927835
705	0.30439642
706	0.304275247
707	0.3041835414
708	0.3040548391
709	0.3039278137
710	0.3038246967
711	0.3037410768
