iter	Passed	Remaining
0	1	1460
1	4	2079
2	5	1822
3	6	1699
4	8	1631
5	9	1578
6	10	1451
7	11	1439
8	13	1441
9	14	1441
10	15	1431
11	17	1422
12	17	1365
13	19	1372
14	21	1383
15	22	1379
16	23	1338
17	24	1336
18	25	1336
19	27	1330
20	28	1309
21	28	1276
22	30	1279
23	30	1258
24	32	1258
25	33	1260
26	35	1278
27	36	1259
28	37	1260
29	38	1239
30	39	1239
31	41	1241
32	42	1238
33	43	1238
34	44	1238
35	45	1224
36	47	1227
37	48	1227
38	49	1231
39	51	1233
40	52	1230
41	53	1215
42	54	1216
43	56	1217
44	57	1218
45	58	1219
46	60	1220
47	61	1218
48	62	1215
49	63	1204
50	64	1202
51	65	1202
52	67	1202
53	68	1200
54	69	1199
55	70	1196
56	72	1194
57	73	1192
58	74	1189
59	75	1186
60	77	1185
61	78	1182
62	79	1180
63	80	1179
64	82	1180
65	83	1178
66	84	1171
67	85	1169
68	86	1167
69	87	1163
70	88	1160
71	89	1158
72	90	1151
73	91	1148
74	92	1146
75	94	1143
76	94	1136
77	95	1133
78	97	1133
79	98	1131
80	99	1126
81	100	1124
82	101	1122
83	102	1122
84	104	1120
85	105	1118
86	106	1115
87	107	1113
88	108	1112
89	109	1110
90	110	1108
91	112	1106
92	113	1106
93	114	1103
94	115	1102
95	116	1100
96	118	1098
97	119	1096
98	120	1094
99	121	1092
100	122	1090
101	123	1086
102	124	1084
103	125	1082
104	126	1080
105	127	1079
106	129	1078
107	130	1077
108	131	1075
109	132	1071
110	133	1069
111	134	1063
112	135	1062
113	136	1060
114	137	1059
115	138	1057
116	139	1056
117	141	1054
118	142	1052
119	143	1051
120	144	1050
121	145	1049
122	146	1042
123	147	1041
124	148	1039
125	149	1038
126	150	1036
127	152	1035
128	153	1034
129	154	1032
130	155	1031
131	156	1030
132	157	1028
133	158	1027
134	160	1027
135	161	1027
136	162	1026
137	164	1024
138	164	1021
139	166	1019
140	167	1018
141	168	1017
142	169	1016
143	170	1014
144	171	1013
145	172	1011
146	174	1010
147	175	1009
148	177	1011
149	178	1010
150	178	1005
151	179	1004
152	181	1002
153	182	1001
154	183	1000
155	184	998
156	185	997
157	186	996
158	188	994
159	188	991
160	189	989
161	190	985
162	191	985
163	193	985
164	194	984
165	195	981
166	196	979
167	197	978
168	198	977
169	200	976
170	201	975
171	202	974
172	203	973
173	204	968
174	205	967
175	206	966
176	208	969
177	209	969
178	211	967
179	212	966
180	213	965
181	213	961
182	215	960
183	216	958
184	217	956
185	218	954
186	218	951
187	219	949
188	221	948
189	222	947
190	223	948
191	225	947
192	226	946
193	227	944
194	228	943
195	229	942
196	230	941
197	232	939
198	233	938
199	234	937
200	235	935
201	236	934
202	237	933
203	239	934
204	240	933
205	241	931
206	242	930
207	244	929
208	245	928
209	246	926
210	247	925
211	248	924
212	249	922
213	250	921
214	251	920
215	253	918
216	254	919
217	255	915
218	256	914
219	257	913
220	258	912
221	259	911
222	261	909
223	261	906
224	262	905
225	264	904
226	265	903
227	265	900
228	266	898
229	268	897
230	269	896
231	271	897
232	272	896
233	273	895
234	274	894
235	275	892
236	276	891
237	278	890
238	279	889
239	280	888
240	281	886
241	282	885
242	283	884
243	285	883
244	286	883
245	288	882
246	289	881
247	290	880
248	291	879
249	292	878
250	293	877
251	295	875
252	296	874
253	297	873
254	298	872
255	299	870
256	300	868
257	302	870
258	303	868
259	304	867
260	306	866
261	307	865
262	308	864
263	309	863
264	310	861
265	311	860
266	313	859
267	314	858
268	315	856
269	316	855
270	318	855
271	319	854
272	319	851
273	320	850
274	322	849
275	323	847
276	324	846
277	325	845
278	326	844
279	327	843
280	328	841
281	329	838
282	329	836
283	331	834
284	332	833
285	333	833
286	334	830
287	335	829
288	336	828
289	338	827
290	339	827
291	340	826
292	341	824
293	343	823
294	344	823
295	345	822
296	347	821
297	349	822
298	350	821
299	351	820
300	352	819
301	354	818
302	355	817
303	356	816
304	357	813
305	358	812
306	359	811
307	360	810
308	361	809
309	363	808
310	365	809
311	366	808
312	367	807
313	368	805
314	369	804
315	371	803
316	372	802
317	373	800
318	373	798
319	375	797
320	376	795
321	377	794
322	378	793
323	379	792
324	380	790
325	382	789
326	383	788
327	384	787
328	385	786
329	386	784
330	387	783
331	388	781
332	389	780
333	390	779
334	391	778
335	393	776
336	394	775
337	394	773
338	396	773
339	397	772
340	398	771
341	400	769
342	401	768
343	402	767
344	403	766
345	404	765
346	405	763
347	407	762
348	408	761
349	409	759
350	410	758
351	411	758
352	412	756
353	414	755
354	415	754
355	416	753
356	417	752
357	418	750
358	419	749
359	421	748
360	422	747
361	423	746
362	424	744
363	425	743
364	427	743
365	428	742
366	429	741
367	430	740
368	432	738
369	433	737
370	434	736
371	435	735
372	436	734
373	437	732
374	438	731
375	440	730
376	441	729
377	442	728
378	444	727
379	444	725
380	445	724
381	447	723
382	448	721
383	449	720
384	450	719
385	450	717
386	452	716
387	453	714
388	454	713
389	455	711
390	456	710
391	457	710
392	459	709
393	460	708
394	461	707
395	462	706
396	464	704
397	465	703
398	466	702
399	467	701
400	468	700
401	469	698
402	470	696
403	471	695
404	472	694
405	474	694
406	475	692
407	476	691
408	477	689
409	478	688
410	479	687
411	480	686
412	481	684
413	496	703
414	497	701
415	498	700
416	500	699
417	501	698
418	502	696
419	503	695
420	504	693
421	506	694
422	507	692
423	509	691
424	510	690
425	511	689
426	512	687
427	513	686
428	514	685
429	516	684
430	517	682
431	518	681
432	519	680
433	520	678
434	522	678
435	523	676
436	524	675
437	525	674
438	526	673
439	527	671
440	529	670
441	530	669
442	531	668
443	532	666
444	533	665
445	534	664
446	536	663
447	537	662
448	538	661
449	539	659
450	541	658
451	542	657
452	543	656
453	544	654
454	545	653
455	546	652
456	547	650
457	548	649
458	549	648
459	551	646
460	552	645
461	553	644
462	554	643
463	555	641
464	556	640
465	557	639
466	558	637
467	559	636
468	561	635
469	562	634
470	563	632
471	564	631
472	565	630
473	566	629
474	568	627
475	569	627
476	570	625
477	571	624
478	573	623
479	574	622
480	575	620
481	576	619
482	577	618
483	578	617
484	580	616
485	581	614
486	582	613
487	583	612
488	585	611
489	586	610
490	587	609
491	588	607
492	589	606
493	590	605
494	592	604
495	593	602
496	594	601
497	594	599
498	595	597
499	596	596
500	597	595
501	598	594
502	600	593
503	601	592
504	602	590
505	603	589
506	605	588
507	606	587
508	607	586
509	608	584
510	609	583
511	611	582
512	612	581
513	613	579
514	614	578
515	616	577
516	617	576
517	618	575
518	619	574
519	620	572
520	621	571
521	622	570
522	624	569
523	625	567
524	626	566
525	627	565
526	628	564
527	629	562
528	631	561
529	632	560
530	633	559
531	634	558
532	635	557
533	637	555
534	638	554
535	639	553
536	640	552
537	641	550
538	642	549
539	643	548
540	645	547
541	646	546
542	647	545
543	648	543
544	649	542
545	650	541
546	651	539
547	652	538
548	654	537
549	655	536
550	656	534
551	657	533
552	658	532
553	659	531
554	660	529
555	662	528
556	663	527
557	664	526
558	666	525
559	667	524
560	668	523
561	669	521
562	670	520
563	670	518
564	672	517
565	672	515
566	673	514
567	675	513
568	676	512
569	677	510
570	678	510
571	680	508
572	681	507
573	682	506
574	683	505
575	684	504
576	685	502
577	687	501
578	688	500
579	689	499
580	690	497
581	691	496
582	692	495
583	694	494
584	695	493
585	696	492
586	697	490
587	698	489
588	699	487
589	700	486
590	701	485
591	702	484
592	703	483
593	705	481
594	706	480
595	707	479
596	707	477
597	708	476
598	710	475
599	711	474
600	713	473
601	714	472
602	715	470
603	716	469
604	717	468
605	718	467
606	719	465
607	720	464
608	721	463
609	723	462
610	724	461
611	725	460
612	726	458
613	728	457
614	729	456
615	730	455
616	731	454
617	732	452
618	733	451
619	734	450
620	735	448
621	736	447
622	737	446
623	739	445
624	740	444
625	741	443
626	743	442
627	744	440
628	745	439
629	746	438
630	747	437
631	748	436
632	750	434
633	751	433
634	752	432
635	753	431
636	754	430
637	755	428
638	757	428
639	758	426
640	760	425
641	761	424
642	762	423
643	763	422
644	764	420
645	765	419
646	766	418
647	768	417
648	769	416
649	770	414
650	771	413
651	773	412
652	774	411
653	775	410
654	776	409
655	777	407
656	778	406
657	779	405
658	781	404
659	782	402
660	783	401
661	784	400
662	785	399
663	786	398
664	788	397
665	789	396
666	790	394
667	792	393
668	793	392
669	794	391
670	795	390
671	796	388
672	797	387
673	798	386
674	800	385
675	801	383
676	802	382
677	803	381
678	804	380
679	806	379
680	807	378
681	808	376
682	809	375
683	810	374
684	811	373
685	812	372
686	814	370
687	815	369
688	816	368
689	817	367
690	818	365
691	819	364
692	821	363
693	822	362
694	823	361
695	824	359
696	825	358
697	826	357
698	827	356
699	828	355
700	829	353
701	830	352
702	832	351
703	833	350
704	836	349
705	837	348
706	839	347
707	840	346
708	842	345
709	843	344
710	844	343
711	846	342
712	847	341
713	849	340
714	853	340
715	863	342
716	869	343
717	870	341
718	872	340
719	873	339
720	874	338
721	875	337
722	877	336
723	878	334
724	879	333
725	880	332
726	882	331
727	884	330
728	884	328
729	886	327
730	887	326
731	888	325
732	889	324
733	890	322
734	892	321
735	893	320
736	894	319
737	895	318
738	896	316
739	899	315
740	900	314
741	901	313
742	902	312
743	904	311
744	905	309
745	906	308
746	907	307
747	908	306
748	910	305
749	911	303
750	912	302
751	914	301
752	915	300
753	917	299
754	918	298
755	919	296
756	920	295
757	921	294
758	923	293
759	924	291
760	925	290
761	927	289
762	928	288
763	930	287
764	932	286
765	933	285
766	934	283
767	936	282
768	937	281
769	937	280
770	939	278
771	940	277
772	941	276
773	942	275
774	943	274
775	945	272
776	947	271
777	948	270
778	949	269
779	950	268
780	951	266
781	953	265
782	954	264
783	955	263
784	956	261
785	957	260
786	958	259
787	960	258
788	961	257
789	963	256
790	964	254
791	965	253
792	966	252
793	967	251
794	968	249
795	969	248
796	971	247
797	972	246
798	973	244
799	974	243
800	976	242
801	978	241
802	979	240
803	980	239
804	982	237
805	983	236
806	984	235
807	985	234
808	986	232
809	987	231
810	988	230
811	989	229
812	991	227
813	992	226
814	993	225
815	994	224
816	995	223
817	996	221
818	998	220
819	999	219
820	1000	218
821	1001	216
822	1002	215
823	1003	214
824	1004	213
825	1005	211
826	1007	210
827	1009	209
828	1010	208
829	1011	207
830	1012	206
831	1014	204
832	1015	203
833	1016	202
834	1017	201
835	1018	199
836	1020	198
837	1021	197
838	1023	196
839	1024	195
840	1025	193
841	1027	192
842	1028	191
843	1029	190
844	1030	189
845	1031	187
846	1032	186
847	1034	185
848	1035	184
849	1036	182
850	1037	181
851	1039	180
852	1041	179
853	1042	178
854	1043	176
855	1044	175
856	1046	174
857	1047	173
858	1048	172
859	1049	170
860	1050	169
861	1051	168
862	1053	167
863	1054	166
864	1056	164
865	1057	163
866	1058	162
867	1059	161
868	1060	159
869	1062	158
870	1063	157
871	1064	156
872	1065	155
873	1066	153
874	1067	152
875	1069	151
876	1071	150
877	1072	149
878	1073	147
879	1074	146
880	1075	145
881	1077	144
882	1078	142
883	1079	141
884	1080	140
885	1082	139
886	1083	138
887	1084	136
888	1086	135
889	1087	134
890	1089	133
891	1090	132
892	1091	130
893	1092	129
894	1093	128
895	1095	127
896	1096	125
897	1097	124
898	1098	123
899	1100	122
900	1102	121
901	1103	119
902	1104	118
903	1105	117
904	1106	116
905	1107	114
906	1109	113
907	1110	112
908	1111	111
909	1112	110
910	1113	108
911	1115	107
912	1117	106
913	1118	105
914	1119	104
915	1121	102
916	1122	101
917	1123	100
918	1124	99
919	1125	97
920	1127	96
921	1128	95
922	1129	94
923	1130	93
924	1132	91
925	1134	90
926	1137	89
927	1138	88
928	1139	87
929	1141	85
930	1142	84
931	1143	83
932	1144	82
933	1146	80
934	1147	79
935	1149	78
936	1151	77
937	1152	76
938	1153	74
939	1155	73
940	1156	72
941	1157	71
942	1158	70
943	1159	68
944	1161	67
945	1162	66
946	1164	65
947	1166	64
948	1168	62
949	1169	61
950	1170	60
951	1171	59
952	1172	57
953	1173	56
954	1175	55
955	1176	54
956	1179	53
957	1181	51
958	1183	50
959	1185	49
960	1186	48
961	1188	46
962	1189	45
963	1190	44
964	1191	43
965	1193	42
966	1196	40
967	1199	39
968	1200	38
969	1201	37
970	1203	35
971	1204	34
972	1205	33
973	1206	32
974	1207	30
975	1210	29
976	1213	28
977	1214	27
978	1216	26
979	1217	24
980	1218	23
981	1220	22
982	1221	21
983	1222	19
984	1223	18
985	1225	17
986	1227	16
987	1229	14
988	1231	13
989	1232	12
990	1233	11
991	1235	9
992	1236	8
993	1237	7
994	1240	6
995	1242	4
996	1246	3
997	1247	2
998	1248	1
999	1250	0
